time	x
0	1
0.05	1.05019540306682
0.1	1.10285209489703
0.15	1.15808660717487
0.2	1.21601913559444
0.25	1.27677393492161
0.3	1.34048051568739
0.35	1.40727398563112
0.4	1.47729465073273
0.45	1.55068810991274
0.5	1.62760552092975
0.55	1.70820368096939
0.6	1.7926451084859
0.65	1.88109812257144
0.7	1.97373690776169
0.75	2.07074156268719
0.8	2.17229813037146
0.85	2.27859860781924
0.9	2.38984093239139
0.95	2.50622894229474
1	2.62797230835185
1.05	2.75528643405555
1.1	2.88839232075912
1.15	3.02751639470755
1.2	3.17289029248275
1.25	3.32475060131899
1.3	3.48333855064926
1.35	3.64889965117282
1.4	3.8216832776952
1.45	4.00194219198896
1.5	4.18993200197599
1.55	4.38591056854297
1.6	4.59013729276344
1.65	4.80287237386886
1.7	5.02437600052052
1.75	5.25490742856998
1.8	5.49472398680032
1.85	5.74408000498062
1.9	6.00322565209408
1.95	6.2724056925903
2	6.55185815977495
2.05	6.84181294473193
2.1	7.14249030489926
2.15	7.45409929723254
2.2	7.77683614042165
2.25	8.11088251251541
2.3	8.45640379203413
2.35	8.81354725211061
2.4	9.18244021881398
2.45	9.56318820645751
2.5	9.95587304434658
2.55	10.3605510112859
2.6	10.777250994748
2.65	11.2059726946147
2.7	11.6466848918989
2.75	12.0993238038436
2.8	12.5637915479951
2.85	13.0399547385181
2.9	13.527643238316
2.95	14.0266490904805
3	14.5367256521788
3.05	15.0575869532287
3.1	15.5889073002932
3.15	16.1303211502377
3.2	16.6814232525615
3.25	17.2417691012966
3.3	17.810875685955
3.35	18.3882225587705
3.4	18.9732532207684
3.45	19.5653768239882
3.5	20.1639701853047
3.55	20.7683801020977
3.6	21.3779259552451
3.65	21.9919025115452
3.7	22.6095832015767
3.75	23.2302233948919
3.8	23.853063822853
3.85	24.4773343096947
3.9	25.1022575705132
3.95	25.7270530639802
4	26.3509408867322
4.05	26.9731456618971
4.1	27.592900379735
4.15	28.2094501501502
4.2	28.8220558284082
4.25	29.429997477659
4.3	30.0325776347461
4.35	30.6291243492019
4.4	31.2189939691938
4.45	31.8015736524076
4.5	32.3762835843108
4.55	32.9425788951437
4.6	33.4999512492765
4.65	34.0479301284683
4.7	34.5860838018299
4.75	35.1140199767891
4.8	35.6313861449934
4.85	36.1378696392529
4.9	36.6331974142389
4.95	37.1171355681199
5	37.589488625237
5.05	38.0500986012486
5.1	38.4988438733277
5.15	38.9356378787026
5.2	39.3604276651246
5.25	39.7731923165222
5.3	40.1739412778563
5.35	40.5627125999531
5.4	40.939571126548
5.45	41.3046066433445
5.5	41.65793200806
5.55	41.9996812783503
5.6	42.3300078531084
5.65	42.6490826411735
5.7	42.9570922696932
5.75	43.2542373427544
5.8	43.5407307593073
5.85	43.816796097872
5.9	44.0826660740669
5.95	44.3385810756366
6	44.5847877783965
6.05	44.8215378453569
6.1	45.0490867103005
6.15	45.2676924460487
6.2	45.4776147169321
6.25	45.6791138142978
6.3	45.8724497731739
6.35	46.0578815677667
6.4	46.2356663830552
6.45	46.4060589593952
6.5	46.5693110067939
6.55	46.7256706853234
6.6	46.8753821480188
6.65	47.0186851425297
6.7	47.1558146677707
6.75	47.2870006818312
6.8	47.4124678574545
6.85	47.5324353814754
6.9	47.6471167947093
6.95	47.7567198689063
7	47.8614465175235
7.05	47.9614927372145
7.1	48.0570485770944
7.15	48.1482981329968
7.2	48.235419564106
7.25	48.3185851295115
7.3	48.3979612423933
7.35	48.4737085397095
7.4	48.5459819654109
7.45	48.6149308653512
7.5	48.6806990923409
7.55	48.7434251193938
7.6	48.8032421602982
7.65	48.860278296052
7.7	48.9146566058018
7.75	48.9664953013905
7.8	49.0159078645696
7.85	49.0630031860085
7.9	49.1078857053411
7.95	49.150655551574
8	49.1914086832586
8.05	49.2302370278982
8.1	49.2672286201297
8.15	49.3024677382764
8.2	49.3360350389258
8.25	49.3680076892327
8.3	49.398459496698
8.35	49.4274610362087
8.4	49.4550797741669
8.45	49.4813801895656
8.5	49.5064238919004
8.55	49.530269735833
8.6	49.552973932545
8.65	49.5745901577441
8.7	49.5951696563012
8.75	49.6147613435148
8.8	49.6334119030128
8.85	49.6511658813168
8.9	49.6680657790997
8.95	49.6841521391847
9	49.6994636313336
9.05	49.7140371338853
9.1	49.7279078123091
9.15	49.74110919474
9.2	49.7536732445713
9.25	49.7656304301793
9.3	49.7770097918581
9.35	49.787839006046
9.4	49.798144446923
9.45	49.8079512454629
9.5	49.8172833460199
9.55	49.8261635605339
9.6	49.834613620434
9.65	49.8426542263218
9.7	49.850305095513
9.75	49.8575850075172
9.8	49.8645118475304
9.85	49.8711026480179
9.9	49.8773736284594
9.95	49.883340233329
10	49.8890171683799
