TOFU	AM	RM	AdjRM
0	0.18	0.18	0.75
1	0.246716942336877	0.227829412723523	0.759092637801664
2	0.305889561970733	0.280259062100416	0.767001255318801
3	0.358370967618092	0.334473381217639	0.77397146486252
4	0.404917798834377	0.387270774487885	0.780199930354911
5	0.446201134704524	0.435791194236435	0.785842561768957
6	0.482816168983617	0.4780865417655	0.79102204234022
7	0.515290791176843	0.513318452806611	0.795834373772826
8	0.544093197274684	0.541602922645054	0.800354369994555
9	0.569638639869486	0.563675874690881	0.804640158778311
10	0.592295414971801	0.580555756972264	0.808736808365284
11	0.612390171840148	0.593297320464025	0.812679213613465
12	0.630212622377548	0.602852276463794	0.816494372319811
13	0.646019717991549	0.610012559984881	0.820203168635855
14	0.660039354136748	0.615403842992009	0.823821763347246
15	0.672473655949264	0.619503622165037	0.82736267360476
16	0.683501892343093	0.622667812538512	0.830835609081564
17	0.693283060581729	0.625157424718104	0.834248118094862
18	0.701958178587543	0.627161725702082	0.837606086049701
19	0.709652318037833	0.628816890806197	0.840914119465342
20	0.716476407559247	0.630220370236278	0.844175841555742
21	0.722528832017776	0.631441647165697	0.847394119559682
22	0.727896850961732	0.632530145570246	0.850571239475363
23	0.732657856667812	0.63352097076604	0.853709040305519
24	0.736880489927861	0.634439041177171	0.856809017157825
25	0.74062562966296	0.635302044681933	0.859872400403761
26	0.743947270632381	0.636122545257068	0.862900216442383
27	0.746893301891598	0.636909479834629	0.865893334336102
28	0.749506197222604	0.637669219739629	0.868852501599237
29	0.751823627490677	0.638406322301298	0.871778371660413
30	0.753879003756097	0.639124062543062	0.874671524935288
31	0.755701958971042	0.639824809035798	0.877532484996605
32	0.757318775206397	0.640510289458557	0.880361730983053
33	0.758752762567949	0.641181778167382	0.883159707123021
34	0.760024595264904	0.641840228646794	0.885926830045519
35	0.761152609675918	0.642486367026534	0.888663494394011
36	0.762153068709958	0.643120758103464	0.891370077138849
37	0.763040396273347	0.643743851951651	0.894046940891762
38	0.763827385223378	0.644356016829574	0.896694436455162
39	0.764525381806632	0.644957562415601	0.899312904784751
40	0.765144449241078	0.645548756217547	0.901902678502302
41	0.765693512800395	0.646129835165065	0.904464083063533
42	0.766180488492209	0.646701013802622	0.906997437661556
43	0.766612397185464	0.647262490083584	0.909503055927561
44	0.766995465832307	0.64781444947147	0.911981246476015
45	0.767335217243859	0.648357067846589	0.914432313330637
46	0.767636549714167	0.648890513569628	0.916856556258903
47	0.767903807640329	0.649414948950215	0.91925427103639
48	0.768140844156918	0.649930531295508	0.921625749657277
49	0.768351076687728	0.65043741366226	0.923971280503492
50	0.768537536215767	0.650935745399508	0.926291148482111
51	0.768702910981805	0.651425672543349	0.928585635138331
52	0.768849585241521	0.651907338107167	0.930855018749666
53	0.768979673640004	0.652380882297913	0.933099574405661
54	0.769095051699199	0.65284644268003	0.93531957407644
55	0.769197382857847	0.653304154302253	0.937515286672616
56	0.769288142453765	0.653754149798034	0.939686978098506
57	0.769368638994213	0.654196559467177	0.941834911300136
58	0.769440033021021	0.654631511344037	0.943959346309181
59	0.769503353842457	0.655059131256068	0.946060540283709
60	0.769559514373058	0.655479542875379	0.948138747546404
61	0.769609324295385	0.655892867765194	0.950194219620774
62	0.769653501733448	0.656299225422539	0.952227205265759
63	0.769692683606108	0.656698733318109	0.954237950509009
64	0.769727434809719	0.657091506933979	0.956226698679101
65	0.769758256362402	0.657477659799627	0.958193690436847
66	0.769785592627368	0.657857303526616	0.960139163805844
67	0.76980983771943	0.658230547842168	0.96206335420237
68	0.76983134118707	0.658597500621808	0.963966494464707
69	0.76985041305198	0.658958267921195	0.965848814881956
70	0.769867328278734	0.659312954007232	0.96771054322239
71	0.769882330739035	0.659661661388534	0.969551904761397
72	0.769895636727677	0.660004490845275	0.971373122309016
73	0.769907438080934	0.660341541458481	0.973174416237125
74	0.769917904942319	0.66067291063878	0.974956004506273
75	0.769927188215589	0.660998694154632	0.976718102692177
